date,source,facility_id,unit_id,street,city,state,postal_code,lat,lng,unit_label,width_ft,length_ft,height_ft,area_sqft,category,price,regular_price
2026-08-30,cubesmart,400,c9a60b0d-775a-4ef4-9869-1e2da8a2cf58,5921 Wilkinson Blvd,Belmont,NC,28012,35.24889,-81.0611,15x20,15.0,20.0,8.0,300.0,large,189.0,315.0
2026-08-30,cubesmart,400,91d0962b-eba6-479b-8857-ebb323500e76,5921 Wilkinson Blvd,Belmont,NC,28012,35.24889,-81.0611,20 ft,,20.0,,,parking,61.2,102.0
2026-08-30,cubesmart,400,9910976c-bbfd-4e5a-9c22-de2bb0bbf93b,5921 Wilkinson Blvd,Belmont,NC,28012,35.24889,-81.0611,20x20,20.0,20.0,8.0,400.0,large,227.4,379.0
2026-08-30,cubesmart,400,004acb28-2fcc-4008-9aff-6bc3d22e5ed4,5921 Wilkinson Blvd,Belmont,NC,28012,35.24889,-81.0611,5x10,5.0,10.0,8.0,50.0,small,45.0,75.0
2026-08-30,cubesmart,400,b5d765a3-ec5b-45b0-846d-d70e36f01591,5921 Wilkinson Blvd,Belmont,NC,28012,35.24889,-81.0611,5x10,5.0,10.0,8.0,50.0,small,67.2,112.0
2026-08-30,cubesmart,400,90d5bccd-6691-42e4-bb1c-351065a8c1f9,5921 Wilkinson Blvd,Belmont,NC,28012,35.24889,-81.0611,5x5,5.0,5.0,8.0,25.0,small,33.6,56.0
2026-08-30,cubesmart,5263,43ab79bf-2da5-4486-8672-43a98315a810,620 Webb Rd,Concord,NC,28025,35.37815,-80.58394,10x10,10.0,10.0,8.0,100.0,medium,57.0,114.0
2026-08-30,cubesmart,5263,01504710-7237-4466-92c0-c6101565447d,620 Webb Rd,Concord,NC,28025,35.37815,-80.58394,10x10,10.0,10.0,8.0,100.0,medium,91.0,182.0
2026-08-30,cubesmart,5263,c2e2b634-01fb-4b13-8cec-63dbd7c53c8a,620 Webb Rd,Concord,NC,28025,35.37815,-80.58394,10x13,10.0,13.0,8.0,130.0,medium,112.5,225.0
2026-08-30,cubesmart,5263,2a908fac-de6d-4de2-91d4-e9017320f60a,620 Webb Rd,Concord,NC,28025,35.37815,-80.58394,10x15,10.0,15.0,8.0,150.0,medium,123.0,246.0
2026-08-30,cubesmart,5263,6e0222cf-15ba-416a-b2c3-04d8e3423cd6,620 Webb Rd,Concord,NC,28025,35.37815,-80.58394,10x15,10.0,15.0,8.0,150.0,medium,80.5,161.0
2026-08-30,cubesmart,5263,7e740b8f-7b9f-49f5-bc4f-705cd760445a,620 Webb Rd,Concord,NC,28025,35.37815,-80.58394,10x20,10.0,20.0,8.0,200.0,large,102.5,205.0
2026-08-30,cubesmart,5263,e5cc71ac-c517-446b-acff-d15790ff9ff5,620 Webb Rd,Concord,NC,28025,35.37815,-80.58394,10x20,10.0,20.0,8.0,200.0,large,155.5,311.0
2026-08-30,cubesmart,5263,73893dd1-c3f2-4119-99a9-0f0321cc6438,620 Webb Rd,Concord,NC,28025,35.37815,-80.58394,10x20,10.0,20.0,8.0,200.0,large,155.5,311.0
2026-08-30,cubesmart,5263,95626ab1-e704-4722-87d0-2bb61668e749,620 Webb Rd,Concord,NC,28025,35.37815,-80.58394,10x25,10.0,25.0,8.0,250.0,large,187.5,375.0
2026-08-30,cubesmart,5263,2a3f02cd-1b24-4a23-b584-b19df481f2ca,620 Webb Rd,Concord,NC,28025,35.37815,-80.58394,10x30,10.0,30.0,8.0,300.0,large,214.5,429.0
2026-08-30,cubesmart,5263,6176d1d8-f5b6-48ad-b121-7305de784a46,620 Webb Rd,Concord,NC,28025,35.37815,-80.58394,40 ft,,40.0,,,parking,69.6,116.0
2026-08-30,cubesmart,5263,ed2b9b5c-60af-4e87-855f-e5bbfa13ea0c,620 Webb Rd,Concord,NC,28025,35.37815,-80.58394,5x10,5.0,10.0,8.0,50.0,small,51.0,102.0
2026-08-30,cubesmart,5263,84c69aee-a7b4-4e06-a7da-68bd9f8365ea,620 Webb Rd,Concord,NC,28025,35.37815,-80.58394,5x10,5.0,10.0,8.0,50.0,small,51.0,102.0
2026-08-30,cubesmart,5263,7db45bb5-0a3f-464e-8fe0-71f4917f1351,620 Webb Rd,Concord,NC,28025,35.37815,-80.58394,5x5,5.0,5.0,8.0,25.0,small,30.5,61.0
2026-08-30,cubesmart,5263,e8aed165-0a3c-431d-a617-36f8036dc4c2,620 Webb Rd,Concord,NC,28025,35.37815,-80.58394,8x10,8.0,10.0,8.0,80.0,medium,76.0,152.0
2026-08-30,cubesmart,3281,e51eee6e-73ae-4cc0-916b-3304e67a3153,10921 Bailey Rd,Cornelius,NC,28031,35.46308,-80.85178,10x10,10.0,10.0,8.0,100.0,medium,100.1,154.0
2026-08-30,cubesmart,3281,ad1b709d-e08e-4548-9f4d-20b1fb6c8895,10921 Bailey Rd,Cornelius,NC,28031,35.46308,-80.85178,10x10,10.0,10.0,8.0,100.0,medium,101.5,203.0
2026-08-30,cubesmart,3281,15af0feb-d116-4893-b557-171ce9afc24c,10921 Bailey Rd,Cornelius,NC,28031,35.46308,-80.85178,10x15,10.0,15.0,8.0,150.0,medium,118.95,183.0
2026-08-30,cubesmart,3281,795ef59d-1aee-48ef-890c-805aadb54e7f,10921 Bailey Rd,Cornelius,NC,28031,35.46308,-80.85178,10x15,10.0,15.0,8.0,150.0,medium,121.0,242.0
2026-08-30,cubesmart,3281,0cdea52c-29ce-4313-af67-b72f178a043a,10921 Bailey Rd,Cornelius,NC,28031,35.46308,-80.85178,10x17,10.0,17.0,8.0,170.0,large,130.0,260.0
2026-08-30,cubesmart,3281,301074c7-98d9-4104-b714-a46e782176a4,10921 Bailey Rd,Cornelius,NC,28031,35.46308,-80.85178,10x20,10.0,20.0,8.0,200.0,large,133.5,267.0
2026-08-30,cubesmart,3281,72d38cc1-9671-4714-abdb-a72f6fe9ede0,10921 Bailey Rd,Cornelius,NC,28031,35.46308,-80.85178,10x30,10.0,30.0,8.0,300.0,large,165.1,254.0
